english,cree
after midnight,Poni Apihtatipiskaaki
apple,Kaspimin
apples,Kaspimina
at midnight,Apihtatipiskaki
at noon,Apihtaaw wikisikaawki
bread,Pahkwísikan
butter,Osawipimiy
carrot,Oskatask
carrots,Oskataskwa
cheese,tohtosapohkan
day after tomorrow,Awasiwahpahki
dime,Mitataht piwapiskos
egg,Wawi
eight dollars,Aiynaniowapisk
fifty dollars,Niyanomitanaw Tahtwapisk
five dollars,Niyanwapisk
four dollars,Nioowapisk
ice cream,Ka tahkak
in the morning,kíkisipayaki
jello,Astohcikan
juice,Minisapoya
last evening,otakosihk
last night,tipiskohk
later tonight,otakosiki
midnight,Apihtatipiskaw
milk,Tohtosapwiy
morning,kikisipayaw
nickel,Niyanan piwapiskos
night,tipiskaw
nine dollars,Kikamitahtwapisk
noon,Apihtáwi kisikaw
one dollar,Piyakwapisk
one hundred dollars,Mitahtomitanaw tahtwapisk
onion,Wihcikaskosiy
onions,Wihcikaskosiya
orange,Osawimin
oranges,Osawimina
past midnight,Poni Apihtatipiskaaw
peach,Mithawimin
peaches,Mithawimina
pear,cipomin
pears,cipomina
pepper,Pípaw
potato,Askipwa
potatoes,Askipwawa
quarter,Piyaksoniyas
rice,Wapihikominak
salt,Siwitakan
seven dollars,Tikapakohpwapisk
six dollars,Nikotwasapisk
soup,Micimapoy
sugar,Siwinikan
tea,Maskihkiwapwiy
ten dollars,Mitahtwapisk
three dollars,Nistowapisk
tomorrow,Wapahki
tomorrow morning,Wapahki Kikisípayaki
tonight,tipisikaki
twenty dollars,Nisitanaw Tahtwapisk
two dollars,Niswapisk
water,Nipiy
watermelon,Nipiwimin
watermelons,Nipiwimina
wine,Sominapoy